,NN,NNS,JJ,VB,VBD,VBG,VBN,VBP,VBZ,total-frequency,is_excluded,wikipedia2-frequency,aonewsela-frequency,wikipedia1-frequency,aochildes-frequency,wikipedia3-frequency
coal,1778,0,5,0,0,0,0,0,0,1916,False,481,409,490,58,478
shoes,0,1900,0,0,0,0,0,0,3,1913,False,129,240,140,1253,151
considerable,0,0,1913,0,0,0,0,0,0,1913,False,622,55,647,0,589
indicate,1,0,0,970,0,0,0,942,0,1913,False,587,156,586,0,584
wales,0,283,9,0,0,0,0,0,2,1912,False,645,63,608,0,596
waters,0,1837,0,0,0,0,0,0,21,1911,False,444,578,437,15,437
sons,0,1888,0,0,0,0,0,0,0,1911,False,537,248,561,7,558
molecules,0,1826,0,0,0,0,0,0,3,1911,False,598,79,611,0,623
experiment,1752,0,1,145,0,0,0,0,0,1911,False,497,420,473,15,506
hungary,8,0,26,0,0,0,0,0,0,1910,False,626,87,611,15,571
estimates,0,1362,0,0,0,0,0,0,547,1910,False,473,470,480,2,485
subjects,0,1895,0,0,0,0,0,0,13,1908,False,555,275,521,0,557
wildlife,1518,0,1,5,0,0,0,0,0,1908,False,234,1229,229,3,213
successfully,0,0,0,0,0,0,0,0,0,1907,False,573,164,576,2,592
shift,1541,0,0,327,0,0,0,38,0,1907,False,524,375,556,10,442
friday,0,0,0,0,0,0,0,0,0,1906,False,214,1062,217,191,222
steps,0,1820,0,0,0,0,0,0,81,1904,False,430,489,454,104,427
owner,1770,0,3,0,0,0,0,0,0,1903,False,443,605,411,21,423
favor,1656,0,0,134,0,0,0,112,0,1902,False,521,328,534,38,481
leads,0,151,0,0,0,0,0,0,1749,1902,False,488,389,519,14,492
formally,0,0,0,0,0,0,0,0,0,1900,False,564,89,640,1,606
consisting,135,0,0,0,0,1763,0,0,0,1899,False,626,17,645,0,611
begins,0,5,0,0,0,0,0,0,1894,1899,False,553,212,523,116,495
doctors,0,1898,0,0,0,0,0,0,0,1899,False,214,1189,224,50,222
decisions,0,1898,0,0,0,0,0,0,0,1898,False,502,442,487,0,467
roosevelt,53,9,57,46,0,0,0,3,10,1898,False,536,289,527,1,545
arrested,0,0,0,0,164,0,1732,0,0,1896,False,439,554,440,1,462
electrons,0,1892,0,0,0,0,0,0,3,1895,False,604,82,598,0,611
inner,0,0,1859,0,0,0,0,0,0,1894,False,612,129,538,6,609
cultures,0,1892,0,0,0,0,0,0,1,1894,False,575,103,601,2,613
slave,1875,0,6,4,0,0,0,2,0,1894,False,575,270,484,14,551
roots,0,1887,0,0,0,0,0,0,5,1893,False,521,333,518,24,497
converted,0,0,84,0,429,0,1376,0,0,1892,False,594,52,605,0,641
error,1867,0,0,4,0,0,0,5,0,1891,False,584,96,590,0,621
driven,0,0,9,0,3,0,1878,0,0,1890,False,522,322,492,2,552
diseases,0,1886,0,0,0,0,0,0,0,1889,False,476,520,427,1,465
roles,0,1885,0,0,0,0,0,0,2,1888,False,615,87,575,0,611
partly,0,0,0,0,0,0,0,0,0,1888,False,558,254,520,8,548
collected,0,0,49,0,442,0,1396,0,0,1887,False,469,455,498,13,452
republicans,0,353,0,0,0,0,0,0,0,1887,False,311,934,297,1,344
investigation,1737,0,1,0,0,0,0,0,0,1887,False,471,465,464,0,487
refugees,0,1879,0,0,0,0,0,0,1,1887,False,306,959,312,0,310
classified,0,0,146,0,178,0,1557,0,0,1887,False,614,84,579,1,609
forming,43,0,0,0,0,1843,0,0,0,1886,False,576,131,610,0,569
educational,0,0,1833,0,0,0,0,0,0,1886,False,488,379,516,2,501
classic,255,0,1466,0,0,0,0,0,0,1885,False,589,139,578,3,576
choose,2,0,0,1466,1,0,0,416,0,1885,False,439,476,438,113,419
counter,935,15,413,367,0,0,1,17,0,1884,False,579,139,561,78,527
customers,0,1884,0,0,0,0,0,0,0,1884,False,315,949,275,17,328
austria,18,0,0,0,0,0,0,0,0,1883,False,599,49,615,0,620
component,1799,0,30,21,0,0,0,8,0,1883,False,615,58,641,0,569
protests,0,1863,0,0,0,0,0,0,17,1883,False,334,877,330,0,342
logic,1828,0,7,2,0,0,0,1,0,1883,False,585,17,637,3,641
1948,0,0,0,0,0,0,0,0,0,1882,True,606,41,660,0,575
benefit,1158,0,0,558,0,0,0,153,0,1882,False,469,444,462,2,505
rain,1753,0,0,108,0,0,0,0,0,1882,False,307,554,333,371,317
goals,0,1880,0,0,0,0,0,0,0,1882,False,455,415,484,1,527
charges,0,1781,0,0,0,0,0,0,100,1881,False,472,461,485,2,461
wednesday,0,0,0,0,0,0,0,0,0,1881,False,102,1423,131,117,108
concert,1826,0,1,6,0,0,0,1,0,1880,False,528,245,517,38,552
jump,737,0,1,869,0,0,0,106,0,1879,False,211,348,199,882,239
hebrew,192,10,810,8,80,0,115,0,0,1879,False,624,23,602,6,624
tail,1853,0,0,18,0,0,0,1,0,1879,False,322,166,351,742,298
involving,0,0,0,0,0,1878,0,0,0,1878,False,537,218,553,0,570
nobel,10,0,0,0,0,0,0,0,0,1878,False,446,452,456,0,524
agents,0,1857,0,0,0,0,0,0,0,1873,False,461,405,504,0,503
teach,39,0,0,1458,0,0,0,363,0,1872,False,263,821,283,251,254
spot,1615,0,0,210,0,0,0,28,0,1871,False,288,639,259,398,287
beliefs,0,1866,0,0,0,0,0,0,1,1871,False,557,155,566,0,593
hitler,115,0,2,33,0,0,0,0,0,1870,False,614,58,621,0,577
additionally,0,0,0,0,0,0,0,0,0,1870,False,579,60,642,0,589
colonies,0,1746,0,0,0,0,0,0,0,1869,False,581,132,552,1,603
involves,0,18,0,0,0,0,0,0,1851,1869,False,552,192,562,1,562
cook,383,0,30,511,0,0,0,74,0,1869,False,331,467,297,444,330
request,1582,0,0,244,1,0,0,37,0,1866,False,552,255,520,3,536
apply,13,0,0,1394,0,0,0,459,0,1866,False,527,345,529,2,463
replace,8,0,0,1774,0,0,0,81,0,1865,False,553,254,508,15,535
pure,0,0,1859,1,0,0,0,0,0,1865,False,584,60,609,6,606
assumed,0,0,54,0,843,0,967,0,0,1865,False,607,90,595,1,572
genre,1599,0,117,2,2,1,14,0,1,1864,False,597,20,604,0,643
favorite,187,0,1643,0,0,0,0,0,0,1863,False,225,415,188,800,235
escape,561,0,0,1183,0,0,0,65,0,1863,False,488,433,445,20,477
titles,0,1855,0,0,0,0,0,0,3,1861,False,607,75,593,2,584
fame,843,0,1,1,0,0,0,0,0,1861,False,575,133,574,6,573
lowest,0,0,0,1,0,0,0,0,0,1861,False,537,224,578,3,519
spiritual,24,0,1821,0,0,0,0,0,0,1861,False,599,51,620,0,591
concepts,0,1856,0,0,0,0,0,0,4,1861,False,632,46,587,1,595
trading,1629,0,1,0,0,223,0,0,0,1861,False,569,115,584,4,589
chemistry,1835,0,0,0,0,0,0,0,0,1860,False,544,136,580,0,600
understood,0,0,2,1,497,0,1360,0,0,1860,False,574,209,522,15,540
attached,0,0,20,0,139,0,1700,0,0,1859,False,518,255,485,78,523
bar,1661,0,3,43,0,0,0,2,0,1859,False,487,288,475,96,513
attributed,0,0,0,0,363,0,1495,0,0,1858,False,615,62,570,0,611
proteins,0,1822,0,0,0,0,0,0,31,1858,False,587,43,657,0,571
survived,0,0,0,0,1131,0,726,0,0,1858,False,518,351,472,0,517
reputation,1858,0,0,0,0,0,0,0,0,1858,False,554,235,528,0,541
strike,1326,0,17,435,0,0,0,56,0,1857,False,509,414,449,15,470
1940,0,0,0,0,0,0,0,0,0,1857,True,588,18,630,0,621
locations,0,1847,0,0,0,0,0,0,0,1857,False,537,216,552,0,552
norway,17,0,0,18,0,0,0,0,0,1856,False,560,197,576,2,521
cheese,1715,0,3,6,0,0,0,0,0,1855,False,168,170,172,1148,197
doctrine,1706,0,0,2,0,0,0,2,0,1855,False,566,15,643,0,631
lies,0,200,0,0,0,0,0,0,1652,1855,False,548,194,548,17,548
root,1732,0,7,38,0,0,0,7,0,1855,False,613,121,530,36,555
reaching,4,0,0,0,0,1849,0,0,0,1853,False,557,206,510,59,521
satellite,1645,0,12,1,0,0,0,0,0,1852,False,543,243,518,13,535
frank,0,0,85,2,1,0,0,4,0,1852,False,493,266,487,83,523
mr,0,0,0,0,0,0,0,0,0,1851,False,411,103,411,530,396
copies,0,1819,0,0,0,0,0,0,30,1850,False,506,252,553,10,529
affect,57,0,0,1288,0,0,0,499,0,1848,False,439,516,456,5,432
assigned,0,0,37,0,214,0,1595,0,0,1847,False,594,115,538,0,600
membership,1842,0,0,0,0,0,0,0,0,1847,False,585,92,575,6,589
markets,0,1792,0,0,0,0,0,0,34,1846,False,506,260,516,1,563
peak,1606,0,41,61,0,0,0,18,0,1846,False,551,204,565,17,509
helping,24,0,0,0,0,1821,0,0,0,1845,False,257,913,250,172,253
foods,0,1702,0,0,0,0,0,0,12,1844,False,305,885,319,63,272
promote,0,0,1,1671,0,0,0,172,0,1844,False,568,300,498,0,478
classification,1811,0,0,0,0,0,0,4,0,1843,False,614,6,630,0,593
losing,73,0,30,0,0,1734,0,0,0,1842,False,478,404,455,51,454
input,1784,0,43,8,0,0,0,2,0,1841,False,605,37,590,5,604
balance,1550,0,0,257,0,0,0,20,0,1841,False,514,276,483,54,514
turning,406,0,0,0,0,1434,0,0,0,1841,False,365,397,354,322,403
manner,1824,0,0,0,0,0,0,0,0,1840,False,570,104,567,2,597
thousand,0,0,0,0,0,0,0,0,0,1840,True,535,207,569,49,480
1944,0,0,0,0,0,0,0,0,0,1838,True,569,97,606,0,566
occasionally,0,0,0,0,0,0,0,0,0,1838,False,597,138,548,1,554
existed,7,0,27,1,1231,0,572,0,0,1838,False,559,132,546,1,600
benefits,0,1732,0,0,0,0,0,0,105,1837,False,405,623,381,0,428
orbit,1661,0,1,87,6,0,0,58,0,1837,False,540,187,543,3,564
conservation,1709,0,1,0,0,0,0,0,0,1836,False,390,701,367,0,378
seasons,0,1828,0,0,0,0,0,0,1,1835,False,567,118,570,14,566
brand,1743,0,3,19,0,0,0,4,0,1835,False,502,327,462,68,476
signals,0,1735,0,0,0,0,0,0,90,1835,False,547,198,544,4,542
silly,7,0,1810,2,0,0,0,0,0,1835,False,30,86,32,1649,38
regime,1821,0,7,0,0,0,0,0,0,1834,False,580,62,628,0,564
whales,0,1820,0,0,0,0,0,0,7,1832,False,211,1119,215,35,252
zoo,1351,0,0,0,0,0,0,0,0,1829,False,121,731,121,710,146
soft,0,0,1781,0,0,0,0,0,0,1829,False,393,342,387,354,353
controversy,1793,0,0,0,0,0,0,0,0,1829,False,562,127,567,1,572
hardware,1767,0,1,0,0,0,0,0,0,1828,False,581,69,603,4,571
controversial,3,0,1821,0,0,0,0,0,0,1827,False,536,251,523,0,517
egg,1602,0,0,1,0,0,0,1,0,1826,False,202,286,208,926,204
concentration,1789,0,1,0,0,0,0,0,0,1826,False,633,72,532,1,588
revolutionary,56,0,1322,0,0,0,0,0,0,1826,False,586,76,585,1,578
weak,0,0,1826,0,0,0,0,0,0,1826,False,535,249,556,17,469
1961,0,0,0,0,0,0,0,0,0,1825,True,580,66,599,0,580
editor,1707,0,8,1,0,0,0,0,0,1825,False,583,226,491,1,524
uniform,810,0,962,10,0,0,0,1,1,1825,False,515,229,549,23,509
tank,1486,0,258,0,0,0,0,0,0,1825,False,504,288,454,70,509
hotel,1567,3,0,0,0,0,0,0,0,1824,False,437,416,460,58,453
horses,0,1824,0,0,0,0,0,0,0,1824,False,332,538,297,303,354
document,1657,0,6,116,0,0,0,36,0,1823,False,545,157,553,0,568
pain,1793,0,1,17,0,0,0,3,0,1823,False,527,307,479,17,493
successor,1715,0,0,2,0,0,0,0,0,1822,False,598,27,593,0,604
passing,250,0,19,0,0,1552,0,0,0,1822,False,503,303,524,3,489
passage,1799,0,0,5,0,0,0,2,0,1821,False,580,123,554,0,564
assistance,1812,0,0,0,0,0,0,0,0,1820,False,517,260,497,0,546
reforms,0,1815,0,0,0,0,0,0,3,1820,False,542,141,584,0,553
socialist,56,0,1181,0,0,0,0,0,0,1820,False,564,45,609,0,602
dollars,0,1815,0,0,0,0,0,0,1,1819,False,278,608,309,316,308
exercise,1283,0,1,449,0,0,0,84,0,1818,False,358,690,372,41,357
formerly,0,0,0,0,0,0,0,0,0,1818,False,592,61,595,0,570
agent,1698,0,9,1,0,0,0,0,0,1817,False,560,180,539,1,537
bones,0,1807,0,0,0,0,0,0,3,1816,False,288,814,304,130,280
trouble,1797,0,0,15,0,0,0,3,0,1815,False,161,901,189,370,194
consumption,1815,0,0,0,0,0,0,0,0,1815,False,556,195,512,0,552
broad,0,0,1723,0,0,0,0,0,0,1814,False,519,206,563,6,520
chose,1,0,1,6,1805,0,0,0,0,1814,False,478,338,489,36,473
possibility,1814,0,0,0,0,0,0,0,0,1814,False,500,254,525,5,530
rarely,0,0,0,0,0,0,0,0,0,1813,False,499,262,475,2,575
argues,0,5,0,0,0,0,0,0,1808,1813,False,587,139,527,0,560
genes,0,1810,0,0,0,0,0,0,1,1813,False,370,715,368,0,360
sweetie,1470,0,0,24,0,0,0,9,0,1812,False,0,0,1,1811,0
exception,1803,0,2,0,0,0,0,0,0,1812,False,578,49,554,3,628
bringing,23,0,0,0,0,1789,0,0,0,1812,False,395,490,389,141,397
jazz,1707,0,3,1,0,0,0,3,0,1812,False,549,150,554,2,557
designated,0,0,12,0,267,0,1532,0,0,1811,False,549,62,578,0,622
committed,3,0,251,0,549,0,1005,0,0,1810,False,536,252,542,1,479
paintings,0,1809,0,0,0,0,0,0,0,1810,False,446,474,445,17,428
sixth,56,0,1523,2,0,0,0,0,0,1809,True,546,266,472,26,499
agree,0,0,0,1027,0,0,0,781,0,1808,False,357,688,364,33,366
matters,0,1672,0,0,0,0,0,0,135,1807,False,493,249,550,9,506
protocol,1031,0,38,1,0,0,0,0,0,1807,False,607,37,587,0,576
45,0,0,0,0,0,0,0,0,0,1807,True,462,328,492,0,525
1941,0,0,0,0,0,0,0,0,0,1806,True,572,61,567,0,606
debt,1802,0,1,1,0,0,0,0,0,1806,False,527,374,454,0,451
missouri,1,0,0,0,0,0,0,0,0,1806,False,350,694,368,17,377
wine,1773,0,0,5,0,0,0,0,0,1805,False,535,94,553,44,579
drew,8,0,0,1,1718,0,38,0,0,1804,False,435,347,439,151,432
featuring,17,0,0,0,0,1785,0,0,0,1804,False,551,119,605,0,529
actor,1748,0,0,11,0,0,0,0,0,1804,False,552,116,581,3,552
somewhat,1,0,1,0,0,0,0,0,0,1803,False,539,135,566,4,559
waste,1577,0,0,144,0,0,0,28,0,1801,False,387,594,397,53,370
mechanical,4,0,1764,0,0,0,0,0,0,1798,False,544,103,577,2,572
davis,28,0,0,11,0,0,0,3,0,1798,False,461,409,465,23,440
personnel,19,1726,44,0,0,0,0,0,0,1798,False,564,84,553,0,597
renamed,10,0,6,0,502,0,1104,0,0,1795,False,593,37,593,0,572
passengers,0,1794,0,0,0,0,0,0,0,1794,False,421,532,399,29,413
fresh,2,0,1772,1,0,0,0,0,0,1793,False,361,511,359,193,369
lay,77,0,106,548,832,0,42,87,0,1791,False,405,310,414,209,453
provinces,0,1777,0,0,0,0,0,0,1,1790,False,570,19,632,0,569
gay,186,0,1232,1,6,0,0,0,0,1789,False,365,719,336,36,333
incorporated,0,0,123,0,504,0,1129,0,0,1788,False,578,36,602,0,572
audio,665,0,1003,2,0,0,1,1,0,1788,False,554,100,534,7,593
proof,1683,0,86,3,0,0,0,1,0,1788,False,498,283,517,2,488
capture,827,0,0,823,0,0,0,68,0,1787,False,467,255,521,2,542
responsibility,1783,0,0,0,0,0,0,0,0,1786,False,473,324,478,6,505
branches,0,1761,0,0,0,0,0,0,24,1785,False,539,96,582,37,531
particle,1761,0,5,1,0,0,0,0,0,1785,False,540,110,570,0,565
bunny,1280,0,0,0,0,0,0,0,0,1785,False,19,17,16,1718,15
corresponding,5,0,554,0,0,1218,0,0,0,1783,False,574,14,611,0,584
georgia,9,0,0,0,0,0,0,0,0,1783,False,386,544,389,32,432
violent,0,0,1783,0,0,0,0,0,0,1783,False,433,477,438,16,419
memorial,586,0,570,0,0,0,0,0,0,1782,False,512,323,458,10,479
lewis,46,0,32,4,0,2,0,1,0,1782,False,514,208,522,22,516
cow,1671,0,6,14,0,0,0,2,0,1781,False,97,152,126,1324,82
hosted,0,0,39,0,986,0,744,0,0,1781,False,533,165,575,1,507
answer,1069,0,0,665,0,0,0,38,0,1781,False,324,663,288,174,332
extension,1752,0,0,1,0,0,0,0,0,1780,False,518,207,521,7,527
males,0,1684,0,0,0,0,0,0,9,1780,False,518,253,522,1,486
mediterranean,17,0,167,0,0,0,0,0,0,1780,False,545,102,590,0,543
poet,1375,0,14,2,0,0,0,0,0,1779,False,549,70,585,3,572
performing,47,0,14,0,0,1718,0,0,0,1779,False,490,185,582,6,516
relationships,0,1776,0,0,0,0,0,0,3,1779,False,554,168,506,0,551
appeal,1345,0,0,361,0,0,0,65,0,1778,False,485,277,501,3,512
serves,0,21,0,0,0,0,0,0,1756,1777,False,514,237,522,9,495
empty,4,0,1714,45,0,0,0,13,0,1777,False,356,384,346,350,341
lion,1626,0,0,1,0,0,0,0,0,1776,False,233,369,254,721,199
argue,9,1,0,450,0,0,0,1301,0,1775,False,423,444,428,10,470
sample,1642,0,0,69,0,0,0,10,0,1775,False,556,176,515,7,521
oxford,49,0,58,4,0,0,0,0,0,1775,False,596,62,554,1,562
spaces,0,1711,0,0,0,0,0,0,22,1774,False,490,222,530,4,528
cited,0,0,28,0,700,0,1045,0,0,1773,False,565,191,489,0,528
retired,0,0,168,0,634,0,946,0,0,1772,False,473,363,475,5,456
legislative,0,0,1599,0,0,0,0,0,0,1771,False,585,69,556,0,561
tool,1754,0,2,1,0,0,0,0,0,1770,False,430,364,426,131,419
northwest,762,0,32,0,0,0,0,0,0,1769,False,486,278,522,0,483
keeping,132,0,0,0,0,1637,0,0,0,1769,False,392,586,372,54,365
vision,1750,0,0,0,0,0,0,0,0,1769,False,505,285,503,3,473
incident,1736,0,1,3,0,0,0,1,0,1768,False,484,327,497,0,460
continental,20,0,910,1,0,0,0,0,0,1768,False,575,38,562,1,592
variable,737,0,1016,1,0,0,0,1,0,1767,False,601,8,579,0,579
ends,0,768,0,0,0,0,0,0,989,1766,False,517,239,457,45,508
mouse,1404,0,1,0,0,0,0,0,0,1765,False,238,56,245,998,228
entry,1742,0,3,0,0,0,0,0,0,1763,False,531,164,540,0,528
walking,166,0,0,0,0,1595,0,0,0,1762,False,240,566,226,488,242
breakfast,1732,0,0,10,0,0,0,0,0,1761,False,95,311,99,1172,84
lose,2,0,16,1454,0,0,0,288,0,1761,False,293,608,347,236,277
driver,1699,0,0,3,0,0,0,0,0,1760,False,343,412,334,374,297
chairman,1508,0,0,0,0,0,0,0,0,1760,False,441,344,513,0,462
promoted,0,0,15,0,712,0,1030,0,0,1758,False,559,94,564,0,541
unless,0,0,0,0,0,0,0,0,0,1758,False,450,263,476,119,450
bob,12,0,0,3,0,0,0,6,0,1757,False,451,184,402,313,407
destruction,1754,0,0,0,0,0,0,0,0,1757,False,515,158,525,4,555
saturday,68,0,0,0,0,0,0,0,0,1756,False,248,773,261,198,276
bag,1740,0,0,8,0,0,0,3,0,1755,False,106,217,91,1236,105
tracks,0,1601,0,0,0,0,0,0,152,1754,False,471,205,469,190,419
ceremony,1749,0,0,0,0,0,0,0,0,1753,False,461,337,471,4,480
advance,1148,0,16,507,0,1,0,38,0,1751,False,527,168,536,13,507
suit,1554,0,0,184,0,0,0,7,0,1749,False,437,235,405,229,443
chicken,1612,0,0,3,1,0,24,2,0,1749,False,152,388,157,881,171
correct,6,0,1385,338,0,0,0,17,0,1748,False,488,225,499,30,506
borders,0,1542,0,0,0,0,0,0,137,1748,False,448,372,462,4,462
seeking,40,0,0,0,0,1707,0,0,0,1747,False,403,500,420,3,421
representing,24,0,0,0,0,1718,0,0,0,1747,False,512,172,525,1,537
folk,1628,0,1,0,0,0,0,0,0,1747,False,577,51,541,19,559
rank,1431,0,0,77,0,0,0,66,0,1746,False,589,79,555,0,523
voters,0,1746,0,0,0,0,0,0,0,1746,False,419,633,343,0,351
arthur,6,0,0,0,0,0,0,0,0,1744,False,502,35,530,169,508
experimental,11,0,1692,0,0,0,0,0,0,1744,False,549,123,539,1,532
stephen,0,0,0,0,0,0,0,0,0,1744,False,500,179,494,42,529
yards,0,1726,0,0,0,0,0,0,0,1744,False,522,218,512,0,492
taxes,0,1734,0,0,0,0,0,0,8,1744,False,452,346,473,1,472
yay,3,0,1,1,0,0,0,0,0,1743,True,3,7,2,1729,2
impossible,0,0,1743,0,0,0,0,0,0,1743,False,433,377,442,20,471
mexican,20,0,1222,0,0,0,0,0,0,1742,False,440,435,411,14,442
voting,1267,0,37,0,0,376,0,0,0,1742,False,447,384,428,8,475
clothes,0,1735,0,0,0,0,0,0,6,1741,False,171,421,151,836,162
murder,1657,0,0,70,0,0,0,7,0,1740,False,503,204,507,9,517
turkish,37,0,1551,5,0,0,0,0,0,1739,False,536,121,542,0,540
adapted,0,0,32,0,322,0,1383,0,0,1738,False,522,113,543,0,560
divine,1,0,1695,4,0,0,0,0,0,1738,False,554,13,589,3,579
clearly,0,0,0,0,0,0,0,0,0,1737,False,422,404,454,33,424
novels,0,1726,0,0,0,0,0,0,3,1736,False,565,40,561,0,570
moscow,6,0,1,0,0,0,0,0,0,1735,False,507,233,477,0,518
receiving,63,0,0,0,0,1671,0,0,0,1734,False,501,219,501,0,513
musicians,0,1684,0,0,0,0,0,0,1,1733,False,426,430,419,5,453
mechanism,1722,0,0,0,0,0,0,0,0,1733,False,541,74,590,4,524
64,0,0,0,0,0,0,0,0,0,1732,True,537,109,531,0,555
necessarily,0,0,0,0,0,0,0,0,0,1732,False,420,455,418,18,421
motor,1255,0,6,4,0,0,0,5,0,1732,False,508,173,448,122,481
ruling,744,0,0,0,0,978,0,0,0,1730,False,459,346,472,1,452
protestant,193,0,1475,3,0,0,0,0,0,1730,False,578,34,566,0,552
translated,0,0,5,0,332,0,1384,0,0,1729,False,550,75,553,1,550
chamber,1517,0,1,4,0,0,0,0,0,1728,False,508,179,525,5,511
julian,7,0,261,3,0,0,0,0,0,1728,False,544,56,517,1,610
interior,571,0,551,0,0,0,0,0,0,1728,False,531,144,533,0,520
rocks,0,1692,0,0,0,0,0,0,31,1726,False,321,475,333,281,316
domain,1695,0,19,2,0,0,0,2,0,1725,False,550,22,593,0,560
bass,1422,0,0,3,0,0,0,0,0,1725,False,523,87,549,14,552
bigger,0,0,0,0,0,0,0,0,0,1725,False,124,799,128,548,126
fired,0,0,1,0,710,0,1011,0,0,1724,False,444,430,437,1,412
michigan,0,0,5,0,0,0,0,0,0,1723,False,423,395,438,23,444
toy,1623,0,1,2,0,0,0,0,0,1722,False,96,454,73,1005,94
earned,0,0,8,0,1190,0,524,0,0,1722,False,457,348,445,1,471
falling,17,0,0,0,0,1704,0,0,0,1721,False,345,289,350,403,334
industries,0,1650,0,0,0,0,0,0,1,1718,False,504,176,486,0,552
writes,0,35,0,0,0,0,0,0,1683,1718,False,515,136,499,29,539
express,69,0,179,864,0,0,0,201,0,1718,False,488,249,508,10,463
dating,307,0,6,0,0,1403,0,0,0,1718,False,523,160,522,0,513
distributed,0,0,39,0,128,0,1550,0,0,1717,False,551,78,555,1,532
evil,895,0,794,1,0,0,0,0,0,1716,False,541,92,513,31,539
seemed,0,0,0,0,1655,0,61,0,0,1716,False,334,684,313,39,346
soul,1657,0,2,0,0,0,0,0,0,1715,False,501,133,518,15,548
begun,0,0,0,0,8,0,1705,0,0,1715,False,467,299,452,2,495
references,0,1641,0,0,0,0,0,0,70,1714,False,578,20,546,0,570
movies,0,1713,0,0,0,0,0,0,0,1714,False,381,458,395,93,387
struggle,1459,0,1,119,0,0,0,130,0,1713,False,430,442,422,5,414
hopes,0,629,0,0,0,0,0,0,1068,1713,False,160,1215,172,5,161
alcohol,1637,0,0,0,0,0,0,0,0,1712,False,495,227,493,2,495
offices,0,1712,0,0,0,0,0,0,0,1712,False,451,282,495,6,478
healthy,0,0,1700,0,0,0,0,0,0,1712,False,191,1084,186,62,189
links,0,1493,0,0,0,0,0,0,190,1707,False,537,118,536,1,515
trained,0,0,49,0,242,0,1414,0,0,1707,False,438,434,419,15,401
organic,0,0,1674,0,0,0,0,0,0,1706,False,497,166,549,11,483
firm,1256,0,431,6,0,0,0,2,0,1706,False,458,285,469,11,483
singer,1663,0,1,1,0,0,0,0,0,1706,False,500,214,485,13,494
missions,0,1704,0,0,0,0,0,0,0,1705,False,484,324,447,1,449
ooh,11,0,4,5,0,0,0,7,0,1705,True,1,1,3,1697,3
kittie,1019,0,3,1,0,0,0,1,0,1705,False,0,0,1,1702,2
scenes,0,1697,0,0,0,0,0,0,5,1705,False,483,157,501,1,563
returning,5,0,3,0,0,1695,0,0,0,1703,False,466,271,477,3,486
plastic,1131,0,569,1,0,0,0,0,0,1703,False,289,652,310,171,281
persons,0,1695,0,0,0,0,0,0,2,1702,False,540,44,574,6,538
magnitude,1663,0,0,9,0,0,0,3,0,1702,False,536,127,518,0,521
400,0,0,0,0,0,0,0,0,0,1702,True,414,378,465,0,445
pollution,1655,0,10,0,0,0,0,0,0,1702,False,322,681,330,1,368
founding,686,0,35,0,0,965,0,0,0,1702,False,484,125,538,3,552
colleges,0,1683,0,0,0,0,0,0,2,1700,False,392,560,327,0,421
kansas,3,2,0,0,0,0,0,0,0,1699,False,362,579,381,17,360
styles,0,1694,0,0,0,0,0,0,2,1699,False,496,76,552,2,573
federation,538,0,4,0,0,0,0,0,0,1699,False,472,167,500,0,560
hollywood,9,0,8,0,0,0,0,0,0,1698,False,495,277,485,1,440
unusual,0,0,1697,0,0,0,0,0,0,1698,False,382,525,386,21,384
encouraged,0,0,31,0,929,0,736,0,0,1696,False,466,275,498,5,452
net,487,0,1140,9,0,0,0,0,0,1696,False,508,152,508,32,496
bond,1457,0,2,39,0,0,0,3,0,1692,False,480,273,458,9,472
produces,0,3,0,0,0,0,0,0,1689,1692,False,502,150,528,3,509
clock,1642,0,0,9,0,0,0,3,0,1692,False,338,262,393,329,370
sale,1685,0,3,1,0,0,0,0,0,1691,False,451,292,426,100,422
platform,1594,0,63,0,0,0,0,1,0,1691,False,514,118,525,8,526
planets,0,1688,0,0,0,0,0,0,0,1691,False,347,555,361,32,396
passenger,1674,0,1,4,0,0,0,0,0,1690,False,452,248,476,39,475
democrats,0,133,0,0,0,0,0,0,0,1690,False,411,486,398,1,394
credit,1584,0,4,38,0,0,0,34,0,1686,False,415,338,466,41,426
kong,0,0,0,0,0,0,0,0,0,1686,False,489,263,457,2,475
funds,0,1653,0,0,0,0,0,0,32,1686,False,501,200,495,0,490
lunch,1672,0,3,0,0,0,0,1,0,1686,False,70,523,61,951,81
requirements,0,1685,0,0,0,0,0,0,1,1686,False,537,187,477,0,485
yard,1621,0,0,1,0,0,0,0,0,1685,False,464,183,442,175,421
illinois,0,0,0,0,0,0,0,0,0,1684,False,367,606,363,6,342
commonwealth,216,0,20,0,0,0,0,0,0,1684,False,565,17,567,1,534
chapter,1638,0,1,8,0,0,0,0,0,1682,False,516,162,498,10,496
algorithm,997,3,4,4,0,0,0,2,0,1682,False,551,24,547,0,560
wheel,1645,0,13,7,0,0,0,3,0,1681,False,317,144,301,596,323
delivered,0,0,4,0,615,0,1062,0,0,1681,False,532,219,465,8,457
|,17,71,85,2,2,0,4,0,1,1679,True,611,0,552,0,516
1950,0,0,0,0,0,0,0,0,0,1679,True,546,94,497,0,542
slowly,0,0,0,0,0,0,0,0,0,1677,False,363,447,388,85,394
reducing,3,0,3,0,0,1670,0,0,0,1677,False,476,201,510,0,490
symbols,0,1674,0,0,0,0,0,0,0,1677,False,535,167,472,1,502
lie,534,0,0,589,0,0,0,536,0,1675,False,419,132,421,297,406
